GASPALS GraphPrinter Batch Index
Generated: 2026-04-29 20:04:44
Total=86 OK=57 SKIP=20 FAIL=9
Modules OK=628 SKIP=27 FAIL=11
================================================================================
OK           | 09_Audio                           | DABP_FoleyAudioBank | 4 module PNG(s)
  - SKIP_NO_GRAPH | EventGraph | EventGraph_SKIP | nodes=0 | SKIP_NO_GRAPH: graph has no printable nodes. | diag=SKIP_NO_GRAPH
  - OK           | GetSoundFromFoleyEvent | GetSoundFromFoleyEvent_M001 | nodes=4 | D:\UE\COLMM\GASPALS\Saved\Screenshots\Blueprints\09_Audio\DABP_FoleyAudioBank\DABP_FoleyAudioBank_GetSoundFromFoleyEvent_M001_Fallback_001.png | diag=OK
  - OK           | GetSoundFromFoleyEvent | GetSoundFromFoleyEvent_M002 | nodes=2 | D:\UE\COLMM\GASPALS\Saved\Screenshots\Blueprints\09_Audio\DABP_FoleyAudioBank\DABP_FoleyAudioBank_GetSoundFromFoleyEvent_M002_Fallback_002.png | diag=OK
  - OK           | GetSoundFromFoleyEvent | GetSoundFromFoleyEvent_M003 | nodes=1 | D:\UE\COLMM\GASPALS\Saved\Screenshots\Blueprints\09_Audio\DABP_FoleyAudioBank\DABP_FoleyAudioBank_GetSoundFromFoleyEvent_M003_Fallback_003.png | diag=OK
  - OK           | GetSoundFromFoleyEvent | GetSoundFromFoleyEvent_M004 | nodes=1 | D:\UE\COLMM\GASPALS\Saved\Screenshots\Blueprints\09_Audio\DABP_FoleyAudioBank\DABP_FoleyAudioBank_GetSoundFromFoleyEvent_M004_Fallback_004.png | diag=OK
OK           | 09_Audio                           | I_FoleyAudioBankInterface | 2 module PNG(s)
  - OK           | CanPlayFootstepSounds | CanPlayFootstepSounds_M001 | nodes=2 | D:\UE\COLMM\GASPALS\Saved\Screenshots\Blueprints\09_Audio\I_FoleyAudioBankInterface\I_FoleyAudioBankInterface_CanPlayFootstepSounds_M001_Fallback_001.png | diag=OK
  - OK           | GetFoleyAudioBank | GetFoleyAudioBank_M001 | nodes=2 | D:\UE\COLMM\GASPALS\Saved\Screenshots\Blueprints\09_Audio\I_FoleyAudioBankInterface\I_FoleyAudioBankInterface_GetFoleyAudioBank_M001_Fallback_001.png | diag=OK
FAIL         | 01_Core                            | ABP_SandboxCharacter | NoRecoverableContainerNode; NoRecoverableContainerNode; NoRecoverableContainerNode
  - OK           | EventGraph | EventGraph_M001 | nodes=2 | D:\UE\COLMM\GASPALS\Saved\Screenshots\Blueprints\01_Core\ABP_SandboxCharacter\ABP_SandboxCharacter_EventGraph_M001_Fallback_001.png | diag=OK
  - OK           | EventGraph | EventGraph_M002 | nodes=9 | D:\UE\COLMM\GASPALS\Saved\Screenshots\Blueprints\01_Core\ABP_SandboxCharacter\ABP_SandboxCharacter_EventGraph_M002_Fallback_002.png | diag=OK
